id,district
20695,Северное Тушино
22234,Северное Тушино
140476,Покровское-Стрешнево
71993,Покровское-Стрешнево
24737,Пресненский
89227,Пресненский
58482,Пресненский
109605,Дорогомилово
22126,Дорогомилово
69085,Сокол
24764,Сокол
144204,Сокол
137290,Академический
154625,Академический
24847,Академический
145075,Академический
23852,Академический
23846,Академический
20803,Академический
24605,Ломоносовский
25277,Гольяново
138343,Гольяново
128783,Гольяново
24442,Гольяново
26829,Хамовники
52481,Крылатское
154302,Крылатское
146589,Южное Тушино
143174,Южное Тушино
25018,Таганский
146370,Арбат
147234,Выхино-Жулебино
29248,Выхино-Жулебино
21347,Левобережный
24405,Левобережный
126452,Левобережный
23305,Филёвский Парк
74112,Филёвский Парк
23819,Фили-Давыдково
69523,Фили-Давыдково
155493,Головинский
29708,Северное Тушино
22072,Хамовники
22622,Хамовники
20627,Хамовники
27148,Хамовники
153451,Хамовники
152111,Хамовники
25182,Хамовники
157965,Хамовники
152098,Хамовники
152078,Хамовники
152099,Хамовники
150643,Хамовники
153438,Хамовники
156857,Отрадное
125335,Отрадное
21587,Черёмушки
22253,Северное Тушино
22251,Северное Тушино
69781,Выхино-Жулебино
120719,Басманный
20822,Басманный
77314,Басманный
77499,Басманный
21833,Басманный
21988,Басманный
24691,Басманный
26714,Басманный
138387,Басманный
101456,Басманный
69074,Басманный
157308,Басманный
83559,Басманный
21316,Ярославский
128637,Хорошёвский
58524,Хорошёвский
154905,Хорошёвский
28688,Хорошёвский
143336,Хорошёвский
153236,Хорошёвский
80456,Хорошёвский
143332,Хорошёвский
25050,Тверской
21569,Савёловский
119617,Тверской
25129,Тверской
125072,Тверской
143903,Тверской
152434,Тверской
157772,Тверской
21364,Черёмушки
139914,Арбат
141396,Арбат
88041,Арбат
27301,Арбат
21789,Арбат
22837,Сокол
119169,Басманный
23008,Лианозово
154345,Лианозово
136264,Преображенское
153772,Гольяново
27482,Гольяново
27475,Гольяново
142844,Замоскворечье
148149,Нагорный
143164,Басманный
151758,Басманный
143092,Басманный
22382,Басманный
59322,Басманный
22364,Басманный
21813,Басманный
140412,Басманный
153662,Басманный
24033,Басманный
151473,Басманный
151472,Басманный
136095,Басманный
29888,Басманный
155739,Басманный
24935,Басманный
24927,Басманный
24699,Басманный
