id,object_name,chain,object_type,address,number,street,district
88283,Бургер Кинг,True,закусочная,"город Москва, Ореховый бульвар, дом 14, корпус 3",10,Ореховый бульвар,Орехово-Борисово Южное
23745,ЯКИТОРИЯ,True,кафе,"город Москва, Ореховый бульвар, дом 14, корпус 3",64,Ореховый бульвар,Орехово-Борисово Южное
23727,Крошка Картошка,True,фастфуд,"город Москва, Ореховый бульвар, дом 14, корпус 3",13,Ореховый бульвар,Орехово-Борисово Южное
23734,ШОКОЛАДНИЦА,True,кафе,"город Москва, Ореховый бульвар, дом 14, корпус 3",84,Ореховый бульвар,Орехово-Борисово Южное
24564,БОРА-БОРА,False,ресторан,"город Москва, Ореховый бульвар, дом 14, корпус 3",90,Ореховый бульвар,Орехово-Борисово Южное
25634,БОРА-БОРА,False,кафе,"город Москва, Ореховый бульвар, дом 14, корпус 3",75,Ореховый бульвар,Орехово-Борисово Южное
23679,ИВЕРИЯ,False,ресторан,"город Москва, Нагатинская набережная, дом 10, корпус 2",150,Нагатинская набережная,Нагатино-Садовники
141491,Кафе «Рецептор»,False,кафе,"город Москва, Дербеневская улица, дом 7, строение 12",60,Дербеневская улица,Даниловский
150166,Столовая 1А,False,столовая,"город Москва, Электролитный проезд, владение 1А",40,Электролитный проезд,Нагорный
29314,Столовая «МГАВТ»,False,столовая,"город Москва, Новоданиловская набережная, дом 2, корпус 1",200,Новоданиловская набережная,Донской
21677,KFC,True,фастфуд,"город Москва, Варшавское шоссе, дом 87Б",64,Варшавское шоссе,Нагорный
26887,Макдоналдс,True,фастфуд,"город Москва, Варшавское шоссе, дом 87Б",64,Варшавское шоссе,Нагорный
28135,ЭЛЕКТРОМЕХАНИЧЕСКИЙ КОЛЛЕДЖ 55,False,столовая,"город Москва, Судостроительная улица, дом 48",145,Судостроительная улица,Нагатинский Затон
153066,Бистро 24,False,фастфуд,"город Москва, Кожевническая улица, дом 20А, строение 1",4,Кожевническая улица,Даниловский
119305,Столовая,False,столовая,"город Москва, улица Подольских Курсантов, дом 26Б",40,улица Подольских Курсантов,Бирюлёво Западное
155395,Хинкальный дом,False,кафе,"город Москва, улица Подольских Курсантов, дом 3",80,улица Подольских Курсантов,Чертаново Центральное
28151,Столовая,False,столовая,"город Москва, улица Подольских Курсантов, дом 3",48,улица Подольских Курсантов,Чертаново Центральное
29009,ШКОЛА 2016 КШП ЗАГОРЬЕ,False,столовая,"город Москва, Чонгарский бульвар, дом 17",160,Чонгарский бульвар,Нагорный
26583,АРИАНА,True,ресторан,"город Москва, Шипиловская улица, владение 39А",150,Шипиловская улица,Зябликово
24555,Горячие ночи Востока,False,ресторан,"город Москва, Ореховый бульвар, владение 31А",200,Ореховый бульвар,Зябликово
28152,МОСПРОМСТОЙ,False,столовая,"город Москва, Дорожная улица, дом 3, корпус 19",150,Дорожная улица,Чертаново Центральное
29343,СТОЛОВАЯ ГИМНАЗИИ 1526,False,столовая,"город Москва, Дорожная улица, дом 20А, строение 2",300,Дорожная улица,Чертаново Южное
156598,Кафе «Суши Вок»,True,кафе,"город Москва, Бирюлёвская улица, дом 51, корпус 1",16,Бирюлёвская улица,Бирюлёво Восточное
144643,Кафе «Бургер Кинг»,True,фастфуд,"город Москва, Бирюлёвская улица, дом 51, корпус 1",50,Бирюлёвская улица,Бирюлёво Восточное
76734,Предприятие быстрого обслуживания при АЗС «Кафе»,False,фастфуд,"город Москва, Кавказский бульвар, владение 49",5,Кавказский бульвар,Царицыно
152789,Домино'с Пицца,True,фастфуд,"город Москва, Пролетарский проспект, дом 2А",24,Пролетарский проспект,Москворечье-Сабурово
21636,Кафе «KFC»,True,фастфуд,"город Москва, Пролетарский проспект, дом 2А",70,Пролетарский проспект,Москворечье-Сабурово
26274,Кафе «Му-Му»,True,кафе,"город Москва, Балаклавский проспект, дом 7",280,Балаклавский проспект,Чертаново Северное
27262,Ресторан «ДЖОРДЖИЯ»,False,ресторан,"город Москва, Балаклавский проспект, дом 7",90,Балаклавский проспект,Чертаново Северное
26947,Ресторан «БИРШТРАССЕ»,False,ресторан,"город Москва, Балаклавский проспект, дом 7",92,Балаклавский проспект,Чертаново Северное
25777,ПАПА ДЖОНС ПИЦЦА,True,кафе,"город Москва, улица Мусы Джалиля, владение 13А",60,улица Мусы Джалиля,Зябликово
143141,Закусочная «Бургер Кинг»,True,фастфуд,"город Москва, Бесединское шоссе, дом 15",10,Бесединское шоссе,Братеево
143142,Закусочная «Теремок»,True,фастфуд,"город Москва, Бесединское шоссе, дом 15",10,Бесединское шоссе,Братеево
20802,Бар «Суши»,False,фастфуд,"город Москва, Бесединское шоссе, дом 15",10,Бесединское шоссе,Братеево
20786,Закусочная «Крошка Картошка»,True,фастфуд,"город Москва, Бесединское шоссе, дом 15",10,Бесединское шоссе,Братеево
27542,Столовая «ГОУ СОШ № 2017 КДП»,False,столовая,"город Москва, улица Борисовские Пруды, дом 11, корпус 1",300,улица Борисовские Пруды,Москворечье-Сабурово
150427,Бургер Кинг,True,фастфуд,"город Москва, Варшавское шоссе, дом 153",40,Варшавское шоссе,Чертаново Южное
26260,Макдоналдс,True,фастфуд,"город Москва, Каширское шоссе, дом 12А",102,Каширское шоссе,Нагатино-Садовники
24572,Предприятие быстрого обслуживания «Макдоналдс»,True,фастфуд,"город Москва, Кировоградская улица, дом 9, корпус 4, строение 3",48,Кировоградская улица,Чертаново Северное
83281,Макдоналдс,True,кафе,"город Москва, Варшавское шоссе, дом 135Б",95,Варшавское шоссе,Чертаново Южное
145082,Баффало,False,кафе,"город Москва, Артековская улица, дом 1А",47,Артековская улица,Нагорный
70623,Ресторан «Иль Патио»,True,ресторан,"город Москва, Варшавское шоссе, дом 97",110,Варшавское шоссе,Чертаново Северное
23778,Предприятие быстрого обслуживания «Макдоналдс»,True,фастфуд,"город Москва, Варшавское шоссе, дом 97",46,Варшавское шоссе,Чертаново Северное
20793,Предприятие быстрого обслуживания «KFC»,True,фастфуд,"город Москва, Варшавское шоссе, дом 97",46,Варшавское шоссе,Чертаново Северное
127255,KFC,True,фастфуд,"город Москва, проспект Андропова, дом 23",50,проспект Андропова,Нагатинский Затон
146744,Бар «Пивной Погребок»,False,бар,"город Москва, Загорьевский проезд, дом 1",7,Загорьевский проезд,Бирюлёво Восточное
70625,Бар «КОФЕ»,False,бар,"город Москва, Днепропетровская улица, дом 2",48,Днепропетровская улица,Чертаново Северное
